,TRIP_ID,CALL_TYPE,ORIGIN_CALL,ORIGIN_STAND,TAXI_ID,TIMESTAMP,DAY_TYPE,MISSING_DATA,POLYLINE
20746,1373016329620000001,B,,28.0,20000001,1373016329,A,False,"[[-8.606943, 41.162193]]"
21085,1373020041620000001,B,,19.0,20000001,1373020041,A,False,"[[-8.606007, 41.144472]]"
21643,1373023734620000001,C,,,20000001,1373023734,A,False,"[[-8.6022, 41.130432]]"
21973,1373030012620000001,B,,19.0,20000001,1373030012,A,False,"[[-8.624898, 41.177358]]"
22331,1373033732620000001,C,,,20000001,1373033732,A,False,"[[-8.617509, 41.145606]]"
22685,1373036994620000001,B,,10.0,20000001,1373036994,A,False,"[[-8.566992, 41.139009]]"
23136,1373040852620000001,A,2002.0,,20000001,1373040852,A,False,"[[-8.605512, 41.153661]]"
32167,1373046248620000001,B,,19.0,20000001,1373046248,A,False,"[[-8.629407, 41.158908]]"
32296,1373186980620000001,B,,58.0,20000001,1373186980,A,False,"[[-8.537949, 41.18679]]"
32361,1373189374620000001,A,40433.0,,20000001,1373189374,A,False,"[[-8.609382, 41.14089]]"
32522,1373190895620000001,B,,57.0,20000001,1373190895,A,False,"[[-8.629317, 41.158818]]"
32757,1373194318620000001,B,,7.0,20000001,1373194318,A,False,"[[-8.610192, 41.160438]]"
32877,1373199188620000001,A,48109.0,,20000001,1373199188,A,False,"[[-8.584866, 41.162958]]"
33005,1373202015620000001,A,52669.0,,20000001,1373202015,A,False,"[[-8.613252, 41.174883]]"
33065,1373205443620000001,B,,42.0,20000001,1373205443,A,False,"[[-8.589294, 41.164596]]"
33204,1373206487620000001,C,,,20000001,1373206487,A,False,"[[-8.600589, 41.102712]]"
33428,1373210406620000001,B,,10.0,20000001,1373210406,A,False,"[[-8.620569, 41.147829]]"
33766,1373215102620000001,B,,25.0,20000001,1373215102,A,False,"[[-8.606853, 41.146722]]"
35721,1373222701620000001,B,,10.0,20000001,1373222701,A,False,"[[-8.620353, 41.147127]]"
35871,1373274934620000001,B,,42.0,20000001,1373274934,A,False,"[[-8.60382, 41.183037]]"
35961,1373276605620000001,B,,58.0,20000001,1373276605,A,False,"[[-8.604801, 41.161203]]"
36252,1373277527620000001,B,,58.0,20000001,1373277527,A,False,"[[-8.582931, 41.164506]]"
36419,1373281012620000001,C,,,20000001,1373281012,A,False,"[[-8.670141, 41.237208]]"
36496,1373283120620000001,C,,,20000001,1373283120,A,False,"[[-8.615295, 41.140692]]"
36702,1373284148620000001,B,,34.0,20000001,1373284148,A,False,"[[-8.5833, 41.165001]]"
37392,1373286718620000001,C,,,20000001,1373286718,A,False,"[[-8.559873, 41.172615]]"
37680,1373294494620000001,B,,19.0,20000001,1373294494,A,False,"[[-8.619948, 41.146758]]"
38066,1373298115620000001,B,,25.0,20000001,1373298115,A,False,"[[-8.610345, 41.146272]]"
38411,1373303188620000001,C,,,20000001,1373303188,A,False,"[[-8.612928, 41.165694]]"
40067,1373308193620000001,C,,,20000001,1373308193,A,False,"[[-8.647767, 41.157531]]"
40237,1373356216620000001,B,,28.0,20000001,1373356216,A,False,"[[-8.59725, 41.167035]]"
40346,1373358123620000001,B,,63.0,20000001,1373358123,A,False,"[[-8.615025, 41.17788]]"
40745,1373359493620000001,C,,,20000001,1373359493,A,False,"[[-8.602281, 41.17941]]"
41077,1373363617620000001,B,,52.0,20000001,1373363617,A,False,"[[-8.621667, 41.184873]]"
41141,1373367618620000001,A,2001.0,,20000001,1373367618,A,False,"[[-8.624799, 41.177439]]"
41882,1373368715620000001,C,,,20000001,1373368715,A,False,"[[-8.61147, 41.192478]]"
42050,1373378277620000001,A,18719.0,,20000001,1373378277,A,False,"[[-8.637885, 41.161941]]"
42387,1373380278620000001,B,,25.0,20000001,1373380278,A,False,"[[-8.620254, 41.166504]]"
42668,1373384913620000001,B,,51.0,20000001,1373384913,A,False,"[[-8.650134, 41.151078]]"
43140,1373388445620000001,C,,,20000001,1373388445,A,False,"[[-8.653338, 41.048226]]"
44948,1373396361620000001,B,,26.0,20000001,1373396361,A,False,"[[-8.601237, 41.181984]]"
45129,1373446681620000001,B,,28.0,20000001,1373446681,A,False,"[[-8.593974, 41.162094]]"
45636,1373448534620000001,C,,,20000001,1373448534,A,False,"[[-8.651493, 40.74804]]"
45777,1373453572620000001,C,,,20000001,1373453572,A,False,"[[-8.645202, 40.775535]]"
46202,1373455260620000001,C,,,20000001,1373455260,A,False,"[[-8.646813, 40.741407]]"
46810,1373461299620000001,C,,,20000001,1373461299,A,False,"[[-8.701515, 40.759515]]"
47432,1373468529620000001,C,,,20000001,1373468529,A,False,"[[-8.605503, 41.125995]]"
47612,1373476271620000001,B,,36.0,20000001,1373476271,A,False,"[[-8.608014, 41.148666]]"
47787,1373479145620000001,B,,19.0,20000001,1373479145,A,False,"[[-8.611011, 41.163714]]"
49458,1373481951620000001,C,,,20000001,1373481951,A,False,"[[-8.559315, 41.171418]]"
49696,1373526778620000001,A,2002.0,,20000001,1373526778,A,False,"[[-8.623755, 41.233887]]"
49981,1373529973620000001,B,,63.0,20000001,1373529973,A,False,"[[-8.631153, 41.154426]]"
50343,1373533000620000001,B,,30.0,20000001,1373533000,A,False,"[[-8.640459, 41.160636]]"
50622,1373536778620000001,A,23983.0,,20000001,1373536778,A,False,"[[-8.618985, 41.151195]]"
50953,1373539862620000001,A,42059.0,,20000001,1373539862,A,False,"[[-8.661807, 41.160969]]"
51344,1373544038620000001,B,,37.0,20000001,1373544038,A,False,"[[-8.61282, 41.145921]]"
51849,1373548647620000001,A,5066.0,,20000001,1373548647,A,False,"[[-8.622423, 41.147208]]"
52218,1373554194620000001,A,5926.0,,20000001,1373554194,A,False,"[[-8.617689, 41.146425]]"
52471,1373558335620000001,B,,25.0,20000001,1373558335,A,False,"[[-8.558055, 41.126121]]"
52612,1373561236620000001,B,,28.0,20000001,1373561236,A,False,"[[-8.586216, 41.148909]]"
52847,1373563342620000001,B,,28.0,20000001,1373563342,A,False,"[[-8.639955, 41.003289]]"
52989,1373566647620000001,A,2002.0,,20000001,1373566647,A,False,"[[-8.613351, 41.14143]]"
57878,1373569011620000001,B,,53.0,20000001,1373569011,A,False,"[[-8.604333, 41.146515]]"
60838,1373653746620000001,A,2002.0,,20000001,1373653746,A,False,"[[-8.6085, 41.141097]]"
60961,1373700567620000001,A,39634.0,,20000001,1373700567,A,False,"[[-8.585766, 41.148765]]"
61158,1373703020620000001,B,,28.0,20000001,1373703020,A,False,"[[-8.613441, 41.141556]]"
61488,1373707276620000001,B,,34.0,20000001,1373707276,A,False,"[[-8.659008, 41.1534]]"
61573,1373713832620000001,A,40109.0,,20000001,1373713832,A,False,"[[-8.677737, 41.155101]]"
62050,1373715306620000001,C,,,20000001,1373715306,A,False,"[[-8.608599, 40.966308]]"
62140,1373724805620000001,B,,30.0,20000001,1373724805,A,False,"[[-8.586387, 41.148909]]"
62167,1373726730620000001,A,12220.0,,20000001,1373726730,A,False,"[[-8.596368, 41.153121]]"
62392,1373727529620000001,C,,,20000001,1373727529,A,False,"[[-8.624583, 41.157315]]"
62570,1373731924620000001,C,,,20000001,1373731924,A,False,"[[-8.527716, 41.204736]]"
68203,1373735281620000001,C,,,20000001,1373735281,A,False,"[[-8.535609, 41.207787]]"
68385,1373871471620000001,B,,28.0,20000001,1373871471,A,False,"[[-8.616375, 41.196294]]"
68576,1373874670620000001,B,,42.0,20000001,1373874670,A,False,"[[-8.614665, 41.163237]]"
68730,1373876790620000001,A,56624.0,,20000001,1373876790,A,False,"[[-8.58573, 41.148756]]"
68964,1373878295620000001,A,2002.0,,20000001,1373878295,A,False,"[[-8.613351, 41.141403]]"
69411,1373880874620000001,B,,53.0,20000001,1373880874,A,False,"[[-8.585739, 41.148774]]"
70008,1373886112620000001,B,,19.0,20000001,1373886112,A,False,"[[-8.61309, 41.160825]]"
70852,1373894762620000001,B,,28.0,20000001,1373894762,A,False,"[[-8.628975, 41.183748]]"
71088,1373904783620000001,C,,,20000001,1373904783,A,False,"[[-8.591463, 41.172777]]"
71469,1373908419620000001,B,,28.0,20000001,1373908419,A,False,"[[-8.592849, 41.146659]]"
73013,1373914875620000001,C,,,20000001,1373914875,A,False,"[[-8.660628, 41.162211]]"
73654,1373961547620000001,A,2002.0,,20000001,1373961547,A,False,"[[-8.621748, 40.880727]]"
73899,1373968879620000001,A,5281.0,,20000001,1373968879,A,False,"[[-8.640675, 41.151465]]"
74346,1373971602620000001,A,30501.0,,20000001,1373971602,A,False,"[[-8.673219, 41.165217]]"
74463,1373978085620000001,B,,30.0,20000001,1373978085,A,False,"[[-8.620074, 41.14692]]"
74551,1373979779620000001,A,2856.0,,20000001,1373979779,A,False,"[[-8.647398, 41.175585]]"
74791,1373980868620000001,C,,,20000001,1373980868,A,False,"[[-8.612757, 41.16645]]"
75010,1373983647620000001,A,9348.0,,20000001,1373983647,A,False,"[[-8.626284, 41.148783]]"
75413,1373986420620000001,B,,30.0,20000001,1373986420,A,False,"[[-8.670276, 41.23773]]"
77292,1373991124620000001,C,,,20000001,1373991124,A,False,"[[-8.610408, 41.236641]]"
77688,1374045802620000001,A,2002.0,,20000001,1374045802,A,False,"[[-8.617851, 41.147244]]"
78255,1374050841620000001,B,,25.0,20000001,1374050841,A,False,"[[-8.630721, 41.154759]]"
78430,1374056994620000001,B,,7.0,20000001,1374056994,A,False,"[[-8.611443, 41.146101]]"
78747,1374059570620000001,B,,19.0,20000001,1374059570,A,False,"[[-8.617527, 41.145606]]"
79018,1374064218620000001,A,3161.0,,20000001,1374064218,A,False,"[[-8.677854, 41.1525]]"
79168,1374068331620000001,B,,40.0,20000001,1374068331,A,False,"[[-8.585478, 41.161419]]"
79220,1374069891620000001,A,36647.0,,20000001,1374069891,A,False,"[[-8.589951, 41.163786]]"
79539,1374070441620000001,C,,,20000001,1374070441,A,False,"[[-8.571852, 41.161869]]"
79866,1374074409620000001,A,2002.0,,20000001,1374074409,A,False,"[[-8.613477, 41.141439]]"
80129,1374078343620000001,B,,19.0,20000001,1374078343,A,False,"[[-8.586738, 41.174001]]"
80492,1374082434620000001,A,2002.0,,20000001,1374082434,A,False,"[[-8.614971, 41.147289]]"
82107,1374088438620000001,B,,19.0,20000001,1374088438,A,False,"[[-8.619453, 41.164929]]"
82697,1374132695620000001,A,2002.0,,20000001,1374132695,A,False,"[[-8.628552, 41.197149]]"
82983,1374139927620000001,B,,63.0,20000001,1374139927,A,False,"[[-8.629506, 41.158908]]"
83312,1374143128620000001,A,55088.0,,20000001,1374143128,A,False,"[[-8.619948, 41.129325]]"
83888,1374147630620000001,A,60096.0,,20000001,1374147630,A,False,"[[-8.624349, 41.152842]]"
84070,1374155201620000001,B,,30.0,20000001,1374155201,A,False,"[[-8.607294, 41.151303]]"
84188,1374157125620000001,A,4858.0,,20000001,1374157125,A,False,"[[-8.585955, 41.148828]]"
84480,1374158569620000001,B,,19.0,20000001,1374158569,A,False,"[[-8.703711, 41.214177]]"
84928,1374162561620000001,B,,29.0,20000001,1374162561,A,False,"[[-8.627526, 41.174919]]"
85054,1374168591620000001,B,,16.0,20000001,1374168591,A,False,"[[-8.637687, 41.166666]]"
85157,1374170197620000001,B,,17.0,20000001,1374170197,A,False,"[[-8.607339, 41.145309]]"
85223,1374171781620000001,C,,,20000001,1374171781,A,False,"[[-8.571501, 41.164371]]"
86987,1374173338620000001,B,,19.0,20000001,1374173338,A,False,"[[-8.620344, 41.14737]]"
87200,1374220402620000001,B,,28.0,20000001,1374220402,A,False,"[[-8.587791, 41.171067]]"
87545,1374223049620000001,B,,19.0,20000001,1374223049,A,False,"[[-8.588754, 41.165478]]"
87702,1374226812620000001,A,10305.0,,20000001,1374226812,A,False,"[[-8.601876, 41.179644]]"
88026,1374228472620000001,A,2002.0,,20000001,1374228472,A,False,"[[-8.58627, 41.176737]]"
88578,1374232654620000001,B,,28.0,20000001,1374232654,A,False,"[[-8.618265, 41.141394]]"
88982,1374240157620000001,B,,34.0,20000001,1374240157,A,False,"[[-8.638938, 41.159655]]"
89454,1374244624620000001,A,31373.0,,20000001,1374244624,A,False,"[[-8.584641, 41.160609]]"
89822,1374250295620000001,B,,28.0,20000001,1374250295,A,False,"[[-8.601912, 41.161554]]"
90065,1374255209620000001,B,,19.0,20000001,1374255209,A,False,"[[-8.605872, 41.144373]]"
93046,1374258410620000001,B,,19.0,20000001,1374258410,A,False,"[[-8.703189, 41.197707]]"
93259,1374303184620000001,A,23692.0,,20000001,1374303184,A,False,"[[-8.592318, 41.165874]]"
93675,1374308576620000001,B,,10.0,20000001,1374308576,A,False,"[[-8.599716, 41.162868]]"
94155,1374316597620000001,B,,19.0,20000001,1374316597,A,False,"[[-8.614458, 41.148009]]"
94398,1374325867620000001,B,,19.0,20000001,1374325867,A,False,"[[-8.611245, 41.146344]]"
94726,1374330328620000001,B,,27.0,20000001,1374330328,A,False,"[[-8.664237, 41.163219]]"
94807,1374336312620000001,B,,23.0,20000001,1374336312,A,False,"[[-8.624556, 41.148432]]"
95094,1374337561620000001,C,,,20000001,1374337561,A,False,"[[-8.603712, 41.170599]]"
95170,1374342782620000001,A,5602.0,,20000001,1374342782,A,False,"[[-8.660646, 41.162184]]"
95357,1374344218620000001,C,,,20000001,1374344218,A,False,"[[-8.60742, 41.145381]]"
95466,1374347752620000001,B,,27.0,20000001,1374347752,A,False,"[[-8.660322, 41.147136]]"
101502,1374349519620000001,A,51469.0,,20000001,1374349519,A,False,"[[-8.609778, 41.14665]]"
101908,1374482892620000001,A,2002.0,,20000001,1374482892,A,False,"[[-8.610453, 41.147874]]"
101971,1374487299620000001,B,,19.0,20000001,1374487299,A,False,"[[-8.608752, 41.169168]]"
102133,1374488076620000001,C,,,20000001,1374488076,A,False,"[[-8.622891, 41.167503]]"
102235,1374490208620000001,C,,,20000001,1374490208,A,False,"[[-8.64972, 41.154318]]"
102649,1374491973620000001,A,18944.0,,20000001,1374491973,A,False,"[[-8.629137, 41.145219]]"
103177,1374498190620000001,B,,34.0,20000001,1374498190,A,False,"[[-8.589204, 41.17905]]"
103597,1374505101620000001,B,,28.0,20000001,1374505101,A,False,"[[-8.602056, 41.161599]]"
103904,1374510315620000001,C,,,20000001,1374510315,A,False,"[[-8.613675, 41.133267]]"
104138,1374515288620000001,B,,25.0,20000001,1374515288,A,False,"[[-8.62281, 41.169204]]"
105919,1374519555620000001,A,17834.0,,20000001,1374519555,A,False,"[[-8.621028, 41.15403]]"
106497,1374568818620000001,B,,28.0,20000001,1374568818,A,False,"[[-8.536176, 41.140125]]"
106879,1374575799620000001,B,,28.0,20000001,1374575799,A,False,"[[-8.609265, 41.140917]]"
107356,1374581302620000001,B,,12.0,20000001,1374581302,A,False,"[[-8.640441, 41.158638]]"
107722,1374587531620000001,A,2002.0,,20000001,1374587531,A,False,"[[-8.611542, 41.17275]]"
107933,1374592254620000001,A,38643.0,,20000001,1374592254,A,False,"[[-8.605314, 41.153454]]"
108260,1374595146620000001,B,,19.0,20000001,1374595146,A,False,"[[-8.577369, 41.195061]]"
108680,1374599821620000001,B,,19.0,20000001,1374599821,A,False,"[[-8.593038, 41.151105]]"
110007,1374606321620000001,A,5602.0,,20000001,1374606321,A,False,"[[-8.660529, 41.162274]]"
110488,1374650764620000001,A,2002.0,,20000001,1374650764,A,False,"[[-8.664246, 41.163273]]"
110629,1374656580620000001,C,,,20000001,1374656580,A,False,"[[-8.681688, 41.157171]]"
111052,1374658466620000001,A,7262.0,,20000001,1374658466,A,False,"[[-8.648775, 41.148522]]"
111573,1374663610620000001,B,,34.0,20000001,1374663610,A,False,"[[-8.598546, 41.179248]]"
111755,1374671363620000001,A,2002.0,,20000001,1374671363,A,False,"[[-8.613279, 41.167044]]"
112107,1374673603620000001,B,,11.0,20000001,1374673603,A,False,"[[-8.58591, 41.148765]]"
112412,1374677824620000001,A,11437.0,,20000001,1374677824,A,False,"[[-8.613378, 41.147613]]"
112817,1374681649620000001,B,,10.0,20000001,1374681649,A,False,"[[-8.675136, 41.165586]]"
113098,1374687696620000001,A,51320.0,,20000001,1374687696,A,False,"[[-8.605575, 41.144346]]"
114708,1374692440620000001,B,,19.0,20000001,1374692440,A,False,"[[-8.610975, 41.163669]]"
115161,1374738250620000001,A,9369.0,,20000001,1374738250,A,False,"[[-8.594028, 41.16222]]"
115648,1374743898620000001,A,2002.0,,20000001,1374743898,A,False,"[[-8.615259, 41.126013]]"
116288,1374750260620000001,A,2002.0,,20000001,1374750260,A,False,"[[-8.635734, 41.140584]]"
116452,1374759048620000001,A,7656.0,,20000001,1374759048,A,False,"[[-8.610561, 41.153535]]"
116581,1374760595620000001,A,2002.0,,20000001,1374760595,A,False,"[[-8.681814, 41.158359]]"
117018,1374762138620000001,C,,,20000001,1374762138,A,False,"[[-8.613333, 41.230935]]"
117152,1374767825620000001,B,,58.0,20000001,1374767825,A,False,"[[-8.610543, 41.16987]]"
117205,1374769346620000001,B,,19.0,20000001,1374769346,A,False,"[[-8.609526, 41.148306]]"
117609,1374770142620000001,C,,,20000001,1374770142,A,False,"[[-8.580438, 41.159088]]"
117632,1374776476620000001,B,,19.0,20000001,1374776476,A,False,"[[-8.611191, 41.160636]]"
117791,1374776890620000001,C,,,20000001,1374776890,A,False,"[[-8.611137, 41.148234]]"
119365,1374779414620000001,A,5602.0,,20000001,1374779414,A,False,"[[-8.660547, 41.162283]]"
119582,1374824726620000001,A,9369.0,,20000001,1374824726,A,False,"[[-8.594046, 41.161977]]"
119659,1374827727620000001,B,,28.0,20000001,1374827727,A,False,"[[-8.567793, 41.188842]]"
120616,1374828707620000001,A,22839.0,,20000001,1374828707,A,False,"[[-8.61876, 41.155245]]"
120935,1374840214620000001,B,,19.0,20000001,1374840214,A,False,"[[-8.670249, 41.237568]]"
121029,1374844565620000001,C,,,20000001,1374844565,A,False,"[[-8.61696, 41.167512]]"
121112,1374845755620000001,B,,11.0,20000001,1374845755,A,False,"[[-8.601318, 41.167161]]"
121199,1374846613620000001,C,,,20000001,1374846613,A,False,"[[-8.585685, 41.148774]]"
121617,1374847504620000001,B,,15.0,20000001,1374847504,A,False,"[[-8.649603, 41.124807]]"
121864,1374852393620000001,B,,30.0,20000001,1374852393,A,False,"[[-8.616438, 41.145039]]"
121956,1374855539620000001,B,,19.0,20000001,1374855539,A,False,"[[-8.608032, 41.148297]]"
122194,1374856649620000001,B,,19.0,20000001,1374856649,A,False,"[[-8.628759, 41.159259]]"
122445,1374860290620000001,C,,,20000001,1374860290,A,False,"[[-8.612082, 41.148855]]"
125225,1374864194620000001,B,,23.0,20000001,1374864194,A,False,"[[-8.612325, 41.125005]]"
125350,1374910144620000001,A,55508.0,,20000001,1374910144,A,False,"[[-8.585775, 41.148765]]"
125450,1374913108620000001,A,5779.0,,20000001,1374913108,A,False,"[[-8.622963, 41.15637]]"
125564,1374914954620000001,B,,19.0,20000001,1374914954,A,False,"[[-8.6058, 41.144481]]"
125784,1374917093620000001,B,,19.0,20000001,1374917093,A,False,"[[-8.637579, 41.150052]]"
126228,1374920407620000001,B,,30.0,20000001,1374920407,A,False,"[[-8.629029, 41.160834]]"
126454,1374929492620000001,B,,19.0,20000001,1374929492,A,False,"[[-8.613675, 41.133258]]"
127056,1374934105620000001,B,,19.0,20000001,1374934105,A,False,"[[-8.620803, 41.149206]]"
132921,1374946931620000001,B,,19.0,20000001,1374946931,A,False,"[[-8.593317, 41.146371]]"
133148,1375081388620000001,A,2002.0,,20000001,1375081388,A,False,"[[-8.594874, 41.156919]]"
133298,1375085398620000001,B,,19.0,20000001,1375085398,A,False,"[[-8.620065, 41.146893]]"
133680,1375087457620000001,B,,25.0,20000001,1375087457,A,False,"[[-8.591769, 41.161635]]"
133928,1375092199620000001,B,,19.0,20000001,1375092199,A,False,"[[-8.573148, 41.10948]]"
134585,1375095612620000001,B,,19.0,20000001,1375095612,A,False,"[[-8.625231, 41.149575]]"
134952,1375105307620000001,A,2002.0,,20000001,1375105307,A,False,"[[-8.64891, 41.148657]]"
135013,1375110270620000001,A,15097.0,,20000001,1375110270,A,False,"[[-8.613342, 41.231061]]"
135509,1375111213620000001,C,,,20000001,1375111213,A,False,"[[-8.626113, 41.218227]]"
135673,1375118805620000001,A,2002.0,,20000001,1375118805,A,False,"[[-8.602074, 41.148702]]"
135827,1375121610620000001,C,,,20000001,1375121610,A,False,"[[-8.689068, 41.168358]]"
137609,1375124727620000001,B,,22.0,20000001,1375124727,A,False,"[[-8.641323, 41.160654]]"
137722,1375174378620000001,B,,28.0,20000001,1375174378,A,False,"[[-8.583156, 41.174874]]"
137931,1375175617620000001,B,,28.0,20000001,1375175617,A,False,"[[-8.588754, 41.165478]]"
138076,1375178460620000001,A,36647.0,,20000001,1375178460,A,False,"[[-8.609733, 41.140872]]"
138213,1375180405620000001,B,,25.0,20000001,1375180405,A,False,"[[-8.6031, 41.147397]]"
138510,1375182125620000001,A,2002.0,,20000001,1375182125,A,False,"[[-8.617752, 41.146515]]"
138709,1375187013620000001,A,45224.0,,20000001,1375187013,A,False,"[[-8.605566, 41.153535]]"
138812,1375189816620000001,A,2002.0,,20000001,1375189816,A,False,"[[-8.605611, 41.144337]]"
139089,1375191224620000001,A,2002.0,,20000001,1375191224,A,False,"[[-8.605431, 41.153562]]"
139206,1375194702620000001,A,2002.0,,20000001,1375194702,A,False,"[[-8.63235, 41.164434]]"
139384,1375196203620000001,B,,17.0,20000001,1375196203,A,False,"[[-8.610822, 41.146056]]"
139664,1375198493620000001,B,,19.0,20000001,1375198493,A,False,"[[-8.625141, 41.148756]]"
140019,1375202307620000001,B,,30.0,20000001,1375202307,A,False,"[[-8.64981, 41.161581]]"
140226,1375207759620000001,B,,37.0,20000001,1375207759,A,False,"[[-8.631189, 41.159628]]"
141620,1375211600620000001,A,5602.0,,20000001,1375211600,A,False,"[[-8.660565, 41.162256]]"
142059,1375257507620000001,B,,28.0,20000001,1375257507,A,False,"[[-8.741628, 41.368338]]"
142509,1375263126620000001,B,,19.0,20000001,1375263126,A,False,"[[-8.629416, 41.158854]]"
142764,1375269237620000001,B,,19.0,20000001,1375269237,A,False,"[[-8.560512, 41.137119]]"
143204,1375272986620000001,B,,28.0,20000001,1375272986,A,False,"[[-8.692479, 41.195097]]"
143569,1375278643620000001,A,15489.0,,20000001,1375278643,A,False,"[[-8.667387, 41.176359]]"
143960,1375283738620000001,B,,19.0,20000001,1375283738,A,False,"[[-8.607312, 41.144535]]"
144249,1375289070620000001,B,,19.0,20000001,1375289070,A,False,"[[-8.676801, 41.152779]]"
144431,1375293538620000001,A,20931.0,,20000001,1375293538,A,False,"[[-8.671446, 41.158017]]"
146030,1375296837620000001,A,15353.0,,20000001,1375296837,A,False,"[[-8.64882, 41.181075]]"
146431,1375342148620000001,B,,28.0,20000001,1375342148,A,False,"[[-8.607249, 41.162247]]"
146531,1375347515620000001,A,63882.0,,20000001,1375347515,A,False,"[[-8.609706, 41.160438]]"
146779,1375348715620000001,B,,19.0,20000001,1375348715,A,False,"[[-8.629713, 41.1588]]"
146942,1375352178620000001,B,,7.0,20000001,1375352178,A,False,"[[-8.646732, 41.154246]]"
