TRIP,LATITUDE,LONGITUDE
T98,0,-8.64
T99,41.14,-8.61
T100,41.14,-8.622
T101,41.14,-8.61
T102,41.155,-8.64
T103,0,-8.64
T104,0,-8.64
T105,41.165,-8.634
T106,41.155,-8.64
T107,41.14,-8.622
T108,41.14,-8.61
T109,41.155,-8.64
T110,41.155,-8.64
T111,41.14,-8.61
T112,41.14,-8.61
T113,41.165,-8.634
T114,0,-8.61
T115,0,-8.64
T116,41.165,-8.634
T117,41.14,-8.622
T118,41.165,-8.634
T119,0,-8.64
T120,41.14,-8.61
T121,41.14,-8.622
T122,41.14,-8.61
T123,41.165,-8.634
T124,41.14,-8.61
T125,41.155,-8.64
T126,41.14,-8.61
T127,41.14,-8.61
T128,41.14,-8.61
T129,41.155,-8.64
T130,41.14,-8.61
T131,41.165,-8.634
T132,41.14,-8.61
T133,41.155,-8.64
T134,0,-8.64
T135,41.14,-8.61
T136,41.165,-8.634
T137,41.165,-8.622
T138,0,-8.64
T139,41.14,-8.61
T140,41.165,-8.634
T141,41.165,-8.634
T142,41.14,-8.61
T143,41.14,-8.622
T144,41.14,-8.622
T145,41.165,-8.634
T146,41.14,-8.61
T147,41.165,-8.634
T148,41.14,-8.61
T149,41.14,-8.622
T150,41.14,-8.61
T151,41.165,-8.634
T152,41.14,-8.622
T153,41.14,-8.61
T154,41.14,-8.61
T155,41.14,-8.61
T156,41.14,-8.61
T157,41.14,-8.622
T158,41.14,-8.61
T159,41.14,-8.61
T160,41.165,-8.634
T161,41.165,-8.634
T162,41.14,-8.61
T163,41.14,-8.61
T164,41.165,-8.634
T165,0,-8.61
T166,41.155,-8.64
T167,41.14,-8.634
T168,41.14,-8.61
T169,41.165,-8.634
T170,41.165,-8.634
T171,41.14,-8.61
T172,41.165,-8.634
T173,41.14,-8.61
T174,0,-8.61
T175,41.14,-8.61
T176,41.14,-8.61
T177,41.165,-8.634
T178,41.165,-8.634
T179,41.14,-8.61
T180,0,-8.634
T181,41.14,-8.61
T182,41.155,-8.64
T183,41.165,-8.634
T184,41.14,-8.61
T185,41.155,-8.64
T186,41.165,-8.634
T187,41.14,-8.61
T188,41.14,-8.61
T189,41.14,-8.61
T190,41.14,-8.61
T191,41.14,-8.61
T192,41.14,-8.61
T193,41.14,-8.61
T194,41.14,-8.61
T195,0,-8.634
T196,41.14,-8.61
T197,41.165,-8.634
T198,41.14,-8.61
T199,41.14,-8.61
T200,41.14,-8.61
T201,0,-8.61
T202,41.14,-8.61
T203,41.14,-8.61
T204,41.165,-8.634
T205,41.14,-8.61
T206,41.14,-8.61
T207,41.14,-8.61
T208,41.14,-8.61
T209,41.14,-8.61
T210,0,-8.64
T211,41.14,-8.61
T212,0,-8.64
T213,41.14,-8.61
T214,0,-8.64
T215,41.14,-8.61
T216,41.165,-8.634
T217,41.14,-8.61
T218,41.14,-8.61
T219,41.14,-8.61
T220,41.165,-8.634
T221,41.14,-8.61
T222,41.14,-8.61
T223,0,-8.61
T224,41.14,-8.61
T225,41.14,-8.61
T226,41.165,-8.634
T227,41.14,-8.61
T228,41.165,-8.634
T229,41.14,-8.61
T230,41.14,-8.61
T231,41.14,-8.61
T232,41.14,-8.61
T233,41.14,-8.61
T234,41.14,-8.61
T235,0,-8.634
T236,41.14,-8.61
T237,41.14,-8.61
T238,41.14,-8.61
T239,41.14,-8.61
T240,41.14,-8.61
T241,41.14,-8.61
T242,41.14,-8.61
T243,41.14,-8.61
T244,41.14,-8.61
T245,0,-8.634
T246,41.14,-8.61
T247,0,-8.634
T248,41.14,-8.61
T249,41.14,-8.61
T250,41.14,-8.61
T251,41.14,-8.61
T252,41.14,-8.61
T253,0,-8.634
T254,0,-8.61
T255,41.14,-8.61
T256,41.155,-8.64
T257,0,-8.634
T258,0,-8.634
T259,41.14,-8.61
T260,41.14,-8.61
T261,41.14,-8.61
T262,41.14,-8.61
T263,0,-8.634
T264,41.14,-8.61
T265,41.14,-8.61
T266,41.14,-8.61
T267,41.14,-8.61
T268,41.14,-8.61
T269,41.14,-8.61
T270,41.14,-8.61
T271,41.14,-8.61
T272,0,-8.64
T273,41.14,-8.61
T274,41.14,-8.61
T275,41.14,-8.61
T276,41.14,-8.61
T277,41.14,-8.61
T278,41.14,-8.61
T279,41.14,-8.61
T280,41.14,-8.61
T281,0,-8.634
T282,41.14,-8.61
T283,41.14,-8.61
T284,41.14,-8.61
T285,41.14,-8.61
T286,41.14,-8.61
T287,41.14,-8.61
T288,0,-8.634
T289,41.14,-8.61
T290,41.14,-8.61
T291,41.14,-8.61
T292,41.14,-8.61
T293,41.14,-8.61
T294,0,-8.634
T295,41.14,-8.61
T296,41.14,-8.61
T297,41.14,-8.61
T298,41.14,-8.61
T299,41.14,-8.61
T300,0,-8.634
T301,41.14,-8.61
T302,41.165,-8.634
T303,41.14,-8.61
T304,0,-8.634
T305,0,-8.61
T306,41.14,-8.61
T307,41.14,-8.61
T308,41.14,-8.61
T309,0,-8.64
T310,41.14,-8.61
T311,41.14,-8.61
T312,0,-8.634
T313,0,-8.634
T314,41.14,-8.61
T315,41.14,-8.61
T316,41.14,-8.61
T317,41.14,-8.61
T318,41.14,-8.61
T319,41.14,-8.61
T320,41.14,-8.61
T321,0,-8.634
T322,41.14,-8.61
T323,41.14,-8.61
T324,41.14,-8.61
T325,0,-8.634
T326,41.14,-8.61
T327,41.14,-8.61
T328,41.14,-8.61
T329,41.14,-8.61
T330,41.14,-8.61
T331,41.14,-8.61
T332,41.14,-8.61
T333,41.14,-8.61
T334,41.165,-8.634
T335,41.165,-8.634
T336,41.14,-8.61
T337,41.14,-8.61
T338,41.14,-8.61
T339,41.14,-8.61
T340,41.14,-8.61
T341,41.14,-8.61
T342,0,-8.634
T343,41.14,-8.61
T344,41.14,-8.61
T345,41.14,-8.61
T346,0,-8.64
T347,41.14,-8.61
T348,0,-8.634
T349,0,-8.634
T350,41.14,-8.61
T351,41.14,-8.61
T352,0,-8.634
T353,41.14,-8.61
T354,41.155,-8.64
T355,41.14,-8.61
T356,41.14,-8.61
T357,41.14,-8.61
T358,41.14,-8.61
T359,41.14,-8.61
T360,41.14,-8.61
T361,41.14,-8.61
T362,41.14,-8.61
T363,41.14,-8.61
T364,41.14,-8.61
T365,0,-8.64
T366,41.14,-8.61
T367,41.14,-8.61
T368,0,-8.634
T369,41.14,-8.61
T370,41.14,-8.61
T371,41.14,-8.61
T372,41.14,-8.61
T373,0,-8.64
T374,41.14,-8.61
T375,41.14,-8.61
T376,41.14,-8.61
T377,41.14,-8.61
T378,41.14,-8.61
T379,41.14,-8.61
T380,41.14,-8.61
T381,0,-8.634
T382,41.14,-8.61
T383,41.155,-8.64
T384,41.14,-8.61
T385,0,-8.61
T386,41.14,-8.61
T387,41.14,-8.61
T388,0,-8.634
T389,41.14,-8.61
T390,41.14,-8.61
T391,41.14,-8.61
T392,41.14,-8.61
T393,0,-8.634
T394,41.14,-8.61
T395,0,-8.634
T396,41.14,-8.61
T397,41.14,-8.61
T398,41.14,-8.61
T399,41.14,-8.61
T400,0,-8.634
T401,41.14,-8.61
T402,0,-8.634
T403,0,-8.634
T404,41.14,-8.61
T405,41.14,-8.61
T406,41.14,-8.61
T407,0,-8.634
T408,41.14,-8.61
T409,41.14,-8.61
T410,41.14,-8.61
T411,41.14,-8.61
T412,41.14,-8.61
T413,41.14,-8.61
T414,0,-8.61
T415,41.14,-8.61
T416,41.14,-8.61
T417,41.14,-8.61
T418,41.14,-8.61
T419,41.14,-8.61
T420,0,-8.634
T421,41.14,-8.61
T422,41.14,-8.61
T423,41.14,-8.61
T424,41.14,-8.622
T425,41.14,-8.61
T426,41.14,-8.61
T427,41.14,-8.61
T428,41.14,-8.61
T429,41.14,-8.61
T430,41.14,-8.61
T431,0,-8.634
T432,0,-8.634
T433,0,-8.634
T434,41.14,-8.61
T435,41.14,-8.61
T436,41.14,-8.61
T437,41.14,-8.61
T438,41.14,-8.61
T439,41.14,-8.61
T440,41.14,-8.61
T441,41.14,-8.61
T442,41.14,-8.61
T443,41.14,-8.61
T444,41.165,-8.634
T445,41.14,-8.61
T446,0,-8.634
T447,41.14,-8.61
T448,41.14,-8.61
T449,0,-8.61
T450,41.14,-8.61
T451,41.165,-8.634
T452,41.14,-8.61
T453,41.14,-8.61
T454,41.14,-8.61
T455,41.165,-8.634
T456,41.14,-8.61
T457,41.14,-8.61
T458,0,-8.634
T459,41.14,-8.61
T460,41.14,-8.61
T461,41.14,-8.61
T462,41.14,-8.61
T463,41.14,-8.61
T464,41.14,-8.61
T465,41.165,-8.634
T466,41.165,-8.634
T467,41.14,-8.61
T468,0,-8.634
T469,41.14,-8.61
T470,41.14,-8.61
T471,0,-8.634
T472,0,-8.634
T473,41.14,-8.61
T474,41.165,-8.634
T475,0,-8.634
T476,41.14,-8.61
T477,41.165,-8.634
T478,41.165,-8.634
T479,41.14,-8.61
T480,41.14,-8.61
T481,41.165,-8.634
T482,41.14,-8.61
T483,41.14,-8.61
T484,41.165,-8.634
T485,41.165,-8.634
T486,41.14,-8.61
T487,41.165,-8.634
T488,41.14,-8.61
T489,41.14,-8.61
T490,41.14,-8.61
T491,41.14,-8.61
T492,41.14,-8.61
T493,41.14,-8.61
T494,41.14,-8.61
T495,41.165,-8.634
T496,41.14,-8.61
T497,41.14,-8.61
T498,41.165,-8.634
T499,41.165,-8.634
T500,41.14,-8.61
